Shell location	Command
Programs Folder	shell:::{7be9d83c-a729-4d97-b5a7-1b7313c39e0a}
Programs Folder and Fast Items	shell:::{865e5e76-ad83-4dca-a109-50dc2113ce9a}
Public	shell:::{4336a54d-038b-4685-ab02-99bb52d3fb8b}
Recent places	shell:::{22877a6d-37a1-461a-91b0-dbda5aaebc99}
Recovery	shell:::{9FE63AFD-59CF-4419-9775-ABCC3849F861}
Recycle Bin	shell:::{645FF040-5081-101B-9F08-00AA002F954E}
RemoteApp and Desktop Connections	shell:::{241D7C96-F8BF-4F85-B01F-E2B043341A4B}
Removable Storage Devices	shell:::{a6482830-08eb-41e2-84c1-73920c2badb9}
Results Folder	shell:::{2965e715-eb66-4719-b53f-1672673bbefa}
Run...	shell:::{2559a1f3-21d7-11d4-bdaf-00c04f60b9f0}
Search	shell:::{04731B67-D933-450a-90E6-4ACD2E9408FE}
Search	shell:::{2559a1f0-21d7-11d4-bdaf-00c04f60b9f0}
Set Program Access and Computer Defaults	shell:::{2559a1f7-21d7-11d4-bdaf-00c04f60b9f0}
Show desktop	shell:::{3080F90D-D7AD-11D9-BD98-0000947B0257}
Speech Recognition	shell:::{58E3C745-D971-4081-9034-86E34B30836A}
Storage Spaces	shell:::{F942C606-0914-47AB-BE56-1321B8035096}
Switch between windows	shell:::{3080F90E-D7AD-11D9-BD98-0000947B0257}
Sync Center	shell:::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}
Sync Setup Folder	shell:::{2E9E59C0-B437-4981-A647-9C34B9B90891}
System	shell:::{BB06C0E4-D293-4f75-8A90-CB05B6477EEE}
Taskbar	shell:::{0DF44EAA-FF21-4412-828E-260A8728E7F1}
The Internet	shell:::{871C5380-42A0-1069-A2EA-08002B30309D}
Troubleshooting	shell:::{C58C4893-3BE0-4B45-ABB5-A63E4B8C8651}
User Accounts	shell:::{60632754-c523-4b62-b45c-4172da012619}
User Accounts	shell:::{7A9D77BD-5403-11d2-8785-2E0420524153}
User Pinned	shell:::{1f3427c8-5c10-4210-aa03-2ee45287d668}
UsersFiles	shell:::{59031a47-3f72-44a7-89c5-5595fe6b30ee}
Windows 7 File Recovery	shell:::{B98A2BEA-7D42-4558-8BD1-832F41BAC6FD}
Windows Defender	shell:::{D8559EB9-20C0-410E-BEDA-7ED416AECC2A}
Windows Features	shell:::{67718415-c450-4f3c-bf8a-b487642dc39b}
Windows Firewall	shell:::{4026492F-2F69-46B8-B9BF-5654FC07E423}
Windows Mobility Center	shell:::{5ea4f148-308c-46d7-98a9-49041b1dd468}
Windows SideShow	shell:::{E95A4861-D57A-4be1-AD0F-35267E261739}
Windows Update	shell:::{36eef7db-88ad-4e81-ad49-0e313f0c35f8}
WWan Shell Folder	shell:::{87630419-6216-4ff8-a1f0-143562d16d5c}
