No.    Code    Description
1778   0x06F2  The binding handles passed to a remote procedure call do not match.
1779   0x06F3  The stub is unable to get the remote procedure call handle.
1780   0x06F4  A null reference pointer was passed to the stub.
1781   0x06F5  The enumeration value is out of range.
1782   0x06F6  The byte count is too small.
1783   0x06F7  The stub received bad data.
1784   0x06F8  The supplied user buffer is not valid for the requested operation.
1785   0x06F9  The disk media is not recognized. It may not be formatted.
1786   0x06FA  The workstation does not have a trust secret.
1787   0x06FB  The security database on the server does not have a computer account for this workstation trust relationship.
1788   0x06FC  The trust relationship between the primary domain and the trusted domain failed.
1789   0x06FD  The trust relationship between this workstation and the primary domain failed.
1790   0x06FE  The network logon failed.
1791   0x06FF  A remote procedure call is already in progress for this thread.
1792   0x0700  An attempt was made to logon, but the network logon service was not started.
1793   0x0701  The user's account has expired.
1794   0x0702  The redirector is in use and cannot be unloaded.
1795   0x0703  The specified printer driver is already installed.
1796   0x0704  The specified port is unknown.
1797   0x0705  The printer driver is unknown.
1798   0x0706  The print processor is unknown.
1799   0x0707  The specified separator file is invalid.
1800   0x0708  The specified priority is invalid.
1801   0x0709  The printer name is invalid.
1802   0x070A  The printer already exists.
1803   0x070B  The printer command is invalid.
1804   0x070C  The specified datatype is invalid.
1805   0x070D  The environment specified is invalid.
1806   0x070E  There are no more bindings.
1807   0x070F  The account used is an interdomain trust account. Use your global user account or local user account to access this server.
1808   0x0710  The account used is a computer account. Use your global user account or local user account to access this server.
1809   0x0711  The account used is a server trust account. Use your global user account or local user account to access this server.
1810   0x0712  The name or security ID (SID) of the domain specified is inconsistent with the trust information for that domain.
1811   0x0713  The server is in use and cannot be unloaded.
1812   0x0714  The specified image file did not contain a resource section.
1813   0x0715  The specified resource type cannot be found in the image file.
1814   0x0716  The specified resource name cannot be found in the image file.
1815   0x0717  The specified resource language ID cannot be found in the image file.
1816   0x0718  Not enough quota is available to process this command.
1817   0x0719  No interfaces have been registered.
1818   0x071A  The remote procedure call was cancelled.
1819   0x071B  The binding handle does not contain all required information.
1820   0x071C  A communications failure occurred during a remote procedure call.
1821   0x071D  The requested authentication level is not supported.
1822   0x071E  No principal name registered.
1823   0x071F  The error specified is not a valid Windows RPC error code.
1824   0x0720  A UUID that is valid only on this computer has been allocated.
1825   0x0721  A security package specific error occurred.
1826   0x0722  Thread is not canceled.
1827   0x0723  Invalid operation on the encoding/decoding handle.
