No.    Code    Description
1057   0x0421  The account name is invalid or does not exist, or the password is invalid for the account name specified.
1058   0x0422  The service cannot be started, either because it is disabled or because it has no enabled devices associated with it.
1059   0x0423  Circular service dependency was specified.
1060   0x0424  The specified service does not exist as an installed service.
1061   0x0425  The service cannot accept control messages at this time.
1062   0x0426  The service has not been started.
1063   0x0427  The service process could not connect to the service controller.
1064   0x0428  An exception occurred in the service when handling the control request.
1065   0x0429  The database specified does not exist.
1066   0x042A  The service has returned a service-specific error code.
1067   0x042B  The process terminated unexpectedly.
1068   0x042C  The dependency service or group failed to start.
1069   0x042D  The service did not start due to a logon failure.
1070   0x042E  After starting, the service hung in a start-pending state.
1071   0x042F  The specified service database lock is invalid.
1072   0x0430  The specified service has been marked for deletion.
1073   0x0431  The specified service already exists.
1074   0x0432  The system is currently running with the last-known-good configuration.
1075   0x0433  The dependency service does not exist or has been marked for deletion.
1076   0x0434  The current boot has already been accepted for use as the last-known-good control set.
1077   0x0435  No attempts to start the service have been made since the last boot.
1078   0x0436  The name is already in use as either a service name or a service display name.
1079   0x0437  The account specified for this service is different from the account specified for other services running in the same process.
1080   0x0438  Failure actions can only be set for Win32 services, not for drivers.
1081   0x0439  This service runs in the same process as the service control manager.  Therefore, the service control manager cannot take action if this service's process terminates unexpectedly.
1082   0x043A  No recovery program has been configured for this service.
1083   0x043B  The executable program that this service is configured to run in does not implement the service.
1084   0x043C  This service cannot be started in Safe Mode
1100   0x044C  The physical end of the tape has been reached.
1101   0x044D  A tape access reached a filemark.
1102   0x044E  The beginning of the tape or a partition was encountered.
1103   0x044F  A tape access reached the end of a set of files.
1104   0x0450  No more data is on the tape.
1105   0x0451  Tape could not be partitioned.
1106   0x0452  When accessing a new tape of a multivolume partition, the current block size is incorrect.
1107   0x0453  Tape partition information could not be found when loading a tape.
1108   0x0454  Unable to lock the media eject mechanism.
1109   0x0455  Unable to unload the media.
1110   0x0456  The media in the drive may have changed.
1111   0x0457  The I/O bus was reset.
1112   0x0458  No media in drive.
1113   0x0459  No mapping for the Unicode character exists in the target multi-byte code page.
1114   0x045A  A dynamic link library (DLL) initialization routine failed.
1115   0x045B  A system shutdown is in progress.
1116   0x045C  Unable to abort the system shutdown because no shutdown was in progress.
1117   0x045D  The request could not be performed because of an I/O device error.
1118   0x045E  No serial device was successfully initialized. The serial driver will unload.
1119   0x045F  Unable to open a device that was sharing an interrupt request (IRQ) with other devices. At least one other device that uses that IRQ was already opened.
1120   0x0460  A serial I/O operation was completed by another write to the serial port.  (The IOCTL_SERIAL_XOFF_COUNTER reached zero.)
1121   0x0461  A serial I/O operation completed because the timeout period expired.  (The IOCTL_SERIAL_XOFF_COUNTER did not reach zero.)
1122   0x0462  No ID address mark was found on the floppy disk.
1123   0x0463  Mismatch between the floppy disk sector ID field and the floppy disk controller track address.
1124   0x0464  The floppy disk controller reported an error that is not recognized by the floppy disk driver.
1125   0x0465  The floppy disk controller returned inconsistent results in its registers.
1126   0x0466  While accessing the hard disk, a recalibrate operation failed, even after retries.
1127   0x0467  While accessing the hard disk, a disk operation failed even after retries.
1128   0x0468  While accessing the hard disk, a disk controller reset was needed, but even that failed.
1129   0x0469  Physical end of tape encountered.
1130   0x046A  Not enough server memory resources are available to process this command.
1131   0x046B  A potential deadlock condition has been detected.
1132   0x046C  The base address or the file offset specified does not have the proper alignment.
1140   0x0474  An attempt to change the system power state was vetoed by another application or driver.
1141   0x0475  The system BIOS failed an attempt to change the system power state.
1142   0x0476  An attempt was made to create more links on a file than the file system supports.
1150   0x047E  The specified program requires a newer version of Windows.
1151   0x047F  The specified program is not a Windows or MS-DOS program.
1152   0x0480  Cannot start more than one instance of the specified program.
1153   0x0481  The specified program was written for an earlier version of Windows.
1154   0x0482  One of the library files needed to run this application is damaged.
1155   0x0483  No application is associated with the specified file for this operation.
1156   0x0484  An error occurred in sending the command to the application.
1157   0x0485  One of the library files needed to run this application cannot be found.
1158   0x0486  The current process has used all of its system allowance of handles for Window Manager objects.
1159   0x0487  The message can be used only with synchronous operations.
1160   0x0488  The indicated source element has no media.
1161   0x0489  The indicated destination element already contains media.
1162   0x048A  The indicated element does not exist.
1163   0x048B  The indicated element is part of a magazine that is not present.
1164   0x048C  The indicated device requires reinitialization due to hardware errors.
1165   0x048D  The device has indicated that cleaning is required before further operations are attempted.
1166   0x048E  The device has indicated that its door is open.
1167   0x048F  The device is not connected.
1168   0x0490  Element not found.
1169   0x0491  There was no match for the specified key in the index.
1170   0x0492  The property set specified does not exist on the object.
1171   0x0493  The point passed to GetMouseMovePoints is not in the buffer.
1172   0x0494  The tracking (workstation) service is not running.
1173   0x0495  The Volume ID could not be found.
1175   0x0497  Unable to remove the file to be replaced.
1176   0x0498  Unable to move the replacement file to the file to be replaced. The file to be replaced has retained its original name.
1177   0x0499  Unable to move the replacement file to the file to be replaced. The file to be replaced has been renamed using the backup name.
1178   0x049A  The volume change journal is being deleted.
1179   0x049B  The volume change journal is not active.
1180   0x049C  A file was found, but it may not be the correct file.
1181   0x049D  The journal entry has been deleted from the journal.
1183   0x049F  Driver Verifier Volatile settings cannot be set when CFG and IO are enabled.
1184   0x04A0  An attempt was made to access a partition that has begun termination.
1190   0x04A6  A system shutdown has already been scheduled.
1191   0x04A7  The system shutdown cannot be initiated because there are other users logged on to the computer.
1200   0x04B0  The specified device name is invalid.
1201   0x04B1  The device is not currently connected but it is a remembered connection.
1202   0x04B2  The local device name has a remembered connection to another network resource.
1203   0x04B3  The network path was either typed incorrectly, does not exist, or the network provider is not currently available. Please try retyping the path or contact your network administrator.
1204   0x04B4  The specified network provider name is invalid.
1205   0x04B5  Unable to open the network connection profile.
1206   0x04B6  The network connection profile is corrupted.
1207   0x04B7  Cannot enumerate a noncontainer.
1208   0x04B8  An extended error has occurred.
1209   0x04B9  The format of the specified group name is invalid.
1210   0x04BA  The format of the specified computer name is invalid.
1211   0x04BB  The format of the specified event name is invalid.
1212   0x04BC  The format of the specified domain name is invalid.
1213   0x04BD  The format of the specified service name is invalid.
1214   0x04BE  The format of the specified network name is invalid.
1215   0x04BF  The format of the specified share name is invalid.
1216   0x04C0  The format of the specified password is invalid.
1217   0x04C1  The format of the specified message name is invalid.
1218   0x04C2  The format of the specified message destination is invalid.
1219   0x04C3  Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.
1220   0x04C4  An attempt was made to establish a session to a network server, but there are already too many sessions established to that server.
1221   0x04C5  The workgroup or domain name is already in use by another computer on the network.
1222   0x04C6  The network is not present or not started.
1223   0x04C7  The operation was canceled by the user.
1224   0x04C8  The requested operation cannot be performed on a file with a user-mapped section open.
1225   0x04C9  The remote computer refused the network connection.
1226   0x04CA  The network connection was gracefully closed.
1227   0x04CB  The network transport endpoint already has an address associated with it.
1228   0x04CC  An address has not yet been associated with the network endpoint.
1229   0x04CD  An operation was attempted on a nonexistent network connection.
1230   0x04CE  An invalid operation was attempted on an active network connection.
1231   0x04CF  The network location cannot be reached. For information about network troubleshooting, see Windows Help.
1232   0x04D0  The network location cannot be reached. For information about network troubleshooting, see Windows Help.
1233   0x04D1  The network location cannot be reached. For information about network troubleshooting, see Windows Help.
1234   0x04D2  No service is operating at the destination network endpoint on the remote system.
1235   0x04D3  The request was aborted.
1236   0x04D4  The network connection was aborted by the local system.
1237   0x04D5  The operation could not be completed. A retry should be performed.
1238   0x04D6  A connection to the server could not be made because the limit on the number of concurrent connections for this account has been reached.
1239   0x04D7  Attempting to log in during an unauthorized time of day for this account.
1240   0x04D8  The account is not authorized to log in from this station.
1241   0x04D9  The network address could not be used for the operation requested.
1242   0x04DA  The service is already registered.
1243   0x04DB  The specified service does not exist.
1244   0x04DC  The operation being requested was not performed because the user has not been authenticated.
1245   0x04DD  The operation being requested was not performed because the user has not logged on to the network. The specified service does not exist.
1246   0x04DE  Continue with work in progress.
1247   0x04DF  An attempt was made to perform an initialization operation when initialization has already been completed.
1248   0x04E0  No more local devices.
1249   0x04E1  The specified site does not exist.
1250   0x04E2  A domain controller with the specified name already exists.
1251   0x04E3  This operation is supported only when you are connected to the server.
1252   0x04E4  The group policy framework should call the extension even if there are no changes.
1253   0x04E5  The specified user does not have a valid profile.
1254   0x04E6  This operation is not supported on a computer running Windows Server 2003 for Small Business Server
1255   0x04E7  The server machine is shutting down.
1256   0x04E8  The remote system is not available. For information about network troubleshooting, see Windows Help.
1257   0x04E9  The security identifier provided is not from an account domain.
1258   0x04EA  The security identifier provided does not have a domain component.
1259   0x04EB  AppHelp dialog canceled thus preventing the application from starting.
1260   0x04EC  This program is blocked by group policy. For more information, contact your system administrator.
1261   0x04ED  A program attempt to use an invalid register value. Normally caused by an uninitialized register. This error is Itanium specific.
1262   0x04EE  The share is currently offline or does not exist.
1263   0x04EF  The Kerberos protocol encountered an error while validating the KDC certificate during smartcard logon. There is more information in the system event log.
1264   0x04F0  The Kerberos protocol encountered an error while attempting to utilize the smartcard subsystem.
1265   0x04F1  The system cannot contact a domain controller to service the authentication request. Please try again later.
1271   0x04F7  The machine is locked and cannot be shut down without the force option.
1272   0x04F8  You can't access this shared folder because your organization's security policies block unauthenticated guest access. These policies help protect your PC from unsafe or malicious devices on the network.
1273   0x04F9  An application-defined callback gave invalid data when called.
1274   0x04FA  The group policy framework should call the extension in the synchronous foreground policy refresh.
1275   0x04FB  This driver has been blocked from loading
1276   0x04FC  A dynamic link library (DLL) referenced a module that was neither a DLL nor the process's executable image.
1277   0x04FD  Windows cannot open this program since it has been disabled.
1278   0x04FE  Windows cannot open this program because the license enforcement system has been tampered with or become corrupted.
1279   0x04FF  A transaction recover failed.
1280   0x0500  The current thread has already been converted to a fiber.
1281   0x0501  The current thread has already been converted from a fiber.
1282   0x0502  The system detected an overrun of a stack-based buffer in this application. This overrun could potentially allow a malicious user to gain control of this application.
1283   0x0503  Data present in one of the parameters is more than the function can operate on.
1284   0x0504  An attempt to do an operation on a debug object failed because the object is in the process of being deleted.
1285   0x0505  An attempt to delay-load a .dll or get a function address in a delay-loaded .dll failed.
1287   0x0507  Insufficient information exists to identify the cause of failure.
1288   0x0508  The parameter passed to a C runtime function is incorrect.
1289   0x0509  The operation occurred beyond the valid data length of the file.
1290   0x050A  The service start failed since one or more services in the same process have an incompatible service SID type setting. A service with restricted service SID type can only coexist in the same process with other services with a restricted SID type. If the service SID type for this service was just configured, the hosting process must be restarted in order to start this service.
1291   0x050B  The process hosting the driver for this device has been terminated.
1292   0x050C  An operation attempted to exceed an implementation-defined limit.
1293   0x050D  Either the target process, or the target thread's containing process, is a protected process.
1294   0x050E  The service notification client is lagging too far behind the current state of services in the machine.
1295   0x050F  The requested file operation failed because the storage quota was exceeded.  To free up disk space, move files to a different location or delete unnecessary files. For more information, contact your system administrator.
1296   0x0510  The requested file operation failed because the storage policy blocks that type of file. For more information, contact your system administrator.
1297   0x0511  A privilege that the service requires to function properly does not exist in the service account configuration.  You may use the Services Microsoft Management Console (MMC) snap-in (services.msc) and the Local Security Settings MMC snap-in (secpol.msc) to view the service configuration and the account configuration.
1298   0x0512  A thread involved in this operation appears to be unresponsive.
1299   0x0513  Indicates a particular Security ID may not be assigned as the label of an object.
1300   0x0514  Not all privileges or groups referenced are assigned to the caller.
1301   0x0515  Some mapping between account names and security IDs was not done.
1302   0x0516  No system quota limits are specifically set for this account.
1303   0x0517  No encryption key is available. A well-known encryption key was returned.
1304   0x0518  The password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string.
1305   0x0519  The revision level is unknown.
1306   0x051A  Indicates two revision levels are incompatible.
1307   0x051B  This security ID may not be assigned as the owner of this object.
1308   0x051C  This security ID may not be assigned as the primary group of an object.
1309   0x051D  An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client.
1310   0x051E  The group may not be disabled.
1311   0x051F  We can't sign you in with this credential because your domain isn't available. Make sure your device is connected to your organization's network and try again. If you previously signed in on this device with another credential, you can sign in with that credential.
1312   0x0520  A specified logon session does not exist. It may already have been terminated.
1313   0x0521  A specified privilege does not exist.
1314   0x0522  A required privilege is not held by the client.
1315   0x0523  The name provided is not a properly formed account name.
1316   0x0524  The specified account already exists.
1317   0x0525  The specified account does not exist.
1318   0x0526  The specified group already exists.
1319   0x0527  The specified group does not exist.
1320   0x0528  Either the specified user account is already a member of the specified group, or the specified group cannot be deleted because it contains a member.
1321   0x0529  The specified user account is not a member of the specified group account.
1322   0x052A  This operation is disallowed as it could result in an administration account being disabled, deleted or unable to logon.
1323   0x052B  Unable to update the password. The value provided as the current password is incorrect.
1324   0x052C  Unable to update the password. The value provided for the new password contains values that are not allowed in passwords.
1325   0x052D  Unable to update the password. The value provided for the new password does not meet the length, complexity, or history requirements of the domain.
1326   0x052E  The user name or password is incorrect.
1327   0x052F  Account restrictions are preventing this user from signing in. For example: blank passwords aren't allowed, sign-in times are limited, or a policy restriction has been enforced.
1328   0x0530  Your account has time restrictions that keep you from signing in right now.
1329   0x0531  This user isn't allowed to sign in to this computer.
1330   0x0532  The password for this account has expired.
1331   0x0533  This user can't sign in because this account is currently disabled.
1332   0x0534  No mapping between account names and security IDs was done.
1333   0x0535  Too many local user identifiers (LUIDs) were requested at one time.
1334   0x0536  No more local user identifiers (LUIDs) are available.
1335   0x0537  The subauthority part of a security ID is invalid for this particular use.
1336   0x0538  The access control list (ACL) structure is invalid.
1337   0x0539  The security ID structure is invalid.
1338   0x053A  The security descriptor structure is invalid.
1340   0x053C  The inherited access control list (ACL) or access control entry (ACE) could not be built.
1341   0x053D  The server is currently disabled.
1342   0x053E  The server is currently enabled.
1343   0x053F  The value provided was an invalid value for an identifier authority.
1344   0x0540  No more memory is available for security information updates.
1345   0x0541  The specified attributes are invalid, or incompatible with the attributes for the group as a whole.
1346   0x0542  Either a required impersonation level was not provided, or the provided impersonation level is invalid.
1347   0x0543  Cannot open an anonymous level security token.
1348   0x0544  The validation information class requested was invalid.
1349   0x0545  The type of the token is inappropriate for its attempted use.
1350   0x0546  Unable to perform a security operation on an object that has no associated security.
1351   0x0547  Configuration information could not be read from the domain controller, either because the machine is unavailable, or access has been denied.
1352   0x0548  The security account manager (SAM) or local security authority (LSA) server was in the wrong state to perform the security operation.
1353   0x0549  The domain was in the wrong state to perform the security operation.
1354   0x054A  This operation is only allowed for the Primary Domain Controller of the domain.
1355   0x054B  The specified domain either does not exist or could not be contacted.
1356   0x054C  The specified domain already exists.
1357   0x054D  An attempt was made to exceed the limit on the number of domains per server.
1358   0x054E  Unable to complete the requested operation because of either a catastrophic media failure or a data structure corruption on the disk.
1359   0x054F  An internal error occurred.
1360   0x0550  Generic access types were contained in an access mask which should already be mapped to nongeneric types.
1361   0x0551  A security descriptor is not in the right format (absolute or self-relative).
1362   0x0552  The requested action is restricted for use by logon processes only. The calling process has not registered as a logon process.
1363   0x0553  Cannot start a new logon session with an ID that is already in use.
1364   0x0554  A specified authentication package is unknown.
1365   0x0555  The logon session is not in a state that is consistent with the requested operation.
1366   0x0556  The logon session ID is already in use.
1367   0x0557  A logon request contained an invalid logon type value.
1368   0x0558  Unable to impersonate using a named pipe until data has been read from that pipe.
1369   0x0559  The transaction state of a registry subtree is incompatible with the requested operation.
1370   0x055A  An internal security database corruption has been encountered.
1371   0x055B  Cannot perform this operation on built-in accounts.
1372   0x055C  Cannot perform this operation on this built-in special group.
1373   0x055D  Cannot perform this operation on this built-in special user.
1374   0x055E  The user cannot be removed from a group because the group is currently the user's primary group.
1375   0x055F  The token is already in use as a primary token.
1376   0x0560  The specified local group does not exist.
1377   0x0561  The specified account name is not a member of the group.
1378   0x0562  The specified account name is already a member of the group.
1379   0x0563  The specified local group already exists.
1380   0x0564  Logon failure: the user has not been granted the requested logon type at this computer.
1381   0x0565  The maximum number of secrets that may be stored in a single system has been exceeded.
1382   0x0566  The length of a secret exceeds the maximum length allowed.
1383   0x0567  The local security authority database contains an internal inconsistency.
1384   0x0568  During a logon attempt, the user's security context accumulated too many security IDs.
1385   0x0569  Logon failure: the user has not been granted the requested logon type at this computer.
1386   0x056A  A cross-encrypted password is necessary to change a user password.
1387   0x056B  A member could not be added to or removed from the local group because the member does not exist.
1388   0x056C  A new member could not be added to a local group because the member has the wrong account type.
1389   0x056D  Too many security IDs have been specified.
1390   0x056E  A cross-encrypted password is necessary to change this user password.
1391   0x056F  Indicates an ACL contains no inheritable components.
1392   0x0570  The file or directory is corrupted and unreadable.
1393   0x0571  The disk structure is corrupted and unreadable.
1394   0x0572  There is no user session key for the specified logon session.
1395   0x0573  The service being accessed is licensed for a particular number of connections. No more connections can be made to the service at this time because there are already as many connections as the service can accept.
1396   0x0574  The target account name is incorrect.
1397   0x0575  Mutual Authentication failed. The server's password is out of date at the domain controller.
1398   0x0576  There is a time and/or date difference between the client and server.
1399   0x0577  This operation cannot be performed on the current domain.
1400   0x0578  Invalid window handle.
1401   0x0579  Invalid menu handle.
1402   0x057A  Invalid cursor handle.
1403   0x057B  Invalid accelerator table handle.
1404   0x057C  Invalid hook handle.
1405   0x057D  Invalid handle to a multiple-window position structure.
1406   0x057E  Cannot create a top-level child window.
1407   0x057F  Cannot find window class.
1408   0x0580  Invalid window; it belongs to other thread.
1409   0x0581  Hot key is already registered.
1410   0x0582  Class already exists.
1411   0x0583  Class does not exist.
1412   0x0584  Class still has open windows.
1413   0x0585  Invalid index.
1414   0x0586  Invalid icon handle.
1415   0x0587  Using private DIALOG window words.
1416   0x0588  The list box identifier was not found.
1417   0x0589  No wildcards were found.
1418   0x058A  Thread does not have a clipboard open.
1419   0x058B  Hot key is not registered.
1420   0x058C  The window is not a valid dialog window.
1421   0x058D  Control ID not found.
1422   0x058E  Invalid message for a combo box because it does not have an edit control.
1423   0x058F  The window is not a combo box.
1424   0x0590  Height must be less than 256.
1425   0x0591  Invalid device context (DC) handle.
1426   0x0592  Invalid hook procedure type.
1427   0x0593  Invalid hook procedure.
1428   0x0594  Cannot set nonlocal hook without a module handle.
1429   0x0595  This hook procedure can only be set globally.
1430   0x0596  The journal hook procedure is already installed.
1431   0x0597  The hook procedure is not installed.
1432   0x0598  Invalid message for single-selection list box.
1433   0x0599  LB_SETCOUNT sent to non-lazy list box.
1434   0x059A  This list box does not support tab stops.
1435   0x059B  Cannot destroy object created by another thread.
1436   0x059C  Child windows cannot have menus.
1437   0x059D  The window does not have a system menu.
1438   0x059E  Invalid message box style.
1439   0x059F  Invalid system-wide (SPI_*) parameter.
1440   0x05A0  Screen already locked.
1441   0x05A1  All handles to windows in a multiple-window position structure must have the same parent.
1442   0x05A2  The window is not a child window.
1443   0x05A3  Invalid GW_* command.
1444   0x05A4  Invalid thread identifier.
1445   0x05A5  Cannot process a message from a window that is not a multiple document interface (MDI) window.
1446   0x05A6  Popup menu already active.
1447   0x05A7  The window does not have scroll bars.
1448   0x05A8  Scroll bar range cannot be greater than MAXLONG.
1449   0x05A9  Cannot show or remove the window in the way specified.
1450   0x05AA  Insufficient system resources exist to complete the requested service.
1451   0x05AB  Insufficient system resources exist to complete the requested service.
1452   0x05AC  Insufficient system resources exist to complete the requested service.
1453   0x05AD  Insufficient quota to complete the requested service.
1454   0x05AE  Insufficient quota to complete the requested service.
1455   0x05AF  The paging file is too small for this operation to complete.
1456   0x05B0  A menu item was not found.
1457   0x05B1  Invalid keyboard layout handle.
1458   0x05B2  Hook type not allowed.
1459   0x05B3  This operation requires an interactive window station.
1460   0x05B4  This operation returned because the timeout period expired.
1461   0x05B5  Invalid monitor handle.
1462   0x05B6  Incorrect size argument.
1463   0x05B7  The symbolic link cannot be followed because its type is disabled.
1464   0x05B8  This application does not support the current operation on symbolic links.
1465   0x05B9  Windows was unable to parse the requested XML data.
1466   0x05BA  An error was encountered while processing an XML digital signature.
1467   0x05BB  This application must be restarted.
1468   0x05BC  The caller made the connection request in the wrong routing compartment.
1469   0x05BD  There was an AuthIP failure when attempting to connect to the remote host.
1470   0x05BE  Insufficient NVRAM resources exist to complete the requested service. A reboot might be required.
1471   0x05BF  Unable to finish the requested operation because the specified process is not a GUI process.
1500   0x05DC  The event log file is corrupted.
1501   0x05DD  No event log file could be opened, so the event logging service did not start.
1502   0x05DE  The event log file is full.
1503   0x05DF  The event log file has changed between read operations.
1504   0x05E0  The specified Job already has a container assigned to it.
1505   0x05E1  The specified Job does not have a container assigned to it.
1550   0x060E  The specified task name is invalid.
1551   0x060F  The specified task index is invalid.
1552   0x0610  The specified thread is already joining a task.
1601   0x0641  The Windows Installer Service could not be accessed. This can occur if the Windows Installer is not correctly installed. Contact your support personnel for assistance.
1602   0x0642  User cancelled installation.
1603   0x0643  Fatal error during installation.
1604   0x0644  Installation suspended, incomplete.
1605   0x0645  This action is only valid for products that are currently installed.
1606   0x0646  Feature ID not registered.
1607   0x0647  Component ID not registered.
1608   0x0648  Unknown property.
1609   0x0649  Handle is in an invalid state.
1610   0x064A  The configuration data for this product is corrupt. Contact your support personnel.
1611   0x064B  Component qualifier not present.
1612   0x064C  The installation source for this product is not available. Verify that the source exists and that you can access it.
1613   0x064D  This installation package cannot be installed by the Windows Installer service. You must install a Windows service pack that contains a newer version of the Windows Installer service.
1614   0x064E  Product is uninstalled.
1615   0x064F  SQL query syntax invalid or unsupported.
1616   0x0650  Record field does not exist.
1617   0x0651  The device has been removed.
1618   0x0652  Another installation is already in progress. Complete that installation before proceeding with this install.
1619   0x0653  This installation package could not be opened. Verify that the package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer package.
1620   0x0654  This installation package could not be opened. Contact the application vendor to verify that this is a valid Windows Installer package.
1621   0x0655  There was an error starting the Windows Installer service user interface. Contact your support personnel.
1622   0x0656  Error opening installation log file. Verify that the specified log file location exists and that you can write to it.
1623   0x0657  The language of this installation package is not supported by your system.
1624   0x0658  Error applying transforms. Verify that the specified transform paths are valid.
1625   0x0659  This installation is forbidden by system policy. Contact your system administrator.
1626   0x065A  Function could not be executed.
1627   0x065B  Function failed during execution.
1628   0x065C  Invalid or unknown table specified.
1629   0x065D  Data supplied is of wrong type.
1630   0x065E  Data of this type is not supported.
1631   0x065F  The Windows Installer service failed to start. Contact your support personnel.
1632   0x0660  The Temp folder is on a drive that is full or is inaccessible. Free up space on the drive or verify that you have write permission on the Temp folder.
1633   0x0661  This installation package is not supported by this processor type. Contact your product vendor.
1634   0x0662  Component not used on this computer.
1635   0x0663  This update package could not be opened. Verify that the update package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer update package.
1636   0x0664  This update package could not be opened. Contact the application vendor to verify that this is a valid Windows Installer update package.
1637   0x0665  This update package cannot be processed by the Windows Installer service. You must install a Windows service pack that contains a newer version of the Windows Installer service.
1638   0x0666  Another version of this product is already installed. Installation of this version cannot continue. To configure or remove the existing version of this product, use Add/Remove Programs on the Control Panel.
1639   0x0667  Invalid command line argument. Consult the Windows Installer SDK for detailed command line help.
1640   0x0668  Only administrators have permission to add, remove, or configure server software during a Terminal services remote session. If you want to install or configure software on the server, contact your network administrator.
1641   0x0669  The requested operation completed successfully. The system will be restarted so the changes can take effect.
1642   0x066A  The upgrade cannot be installed by the Windows Installer service because the program to be upgraded may be missing, or the upgrade may update a different version of the program. Verify that the program to be upgraded exists on your computer and that you have the correct upgrade.
1643   0x066B  The update package is not permitted by software restriction policy.
1644   0x066C  One or more customizations are not permitted by software restriction policy.
1645   0x066D  The Windows Installer does not permit installation from a Remote Desktop Connection.
1646   0x066E  Uninstallation of the update package is not supported.
1647   0x066F  The update is not applied to this product.
1648   0x0670  No valid sequence could be found for the set of updates.
1649   0x0671  Update removal was disallowed by policy.
1650   0x0672  The XML update data is invalid.
1651   0x0673  Windows Installer does not permit updating of managed advertised products. At least one feature of the product must be installed before applying the update.
1652   0x0674  The Windows Installer service is not accessible in Safe Mode. Please try again when your computer is not in Safe Mode or you can use System Restore to return your machine to a previous good state.
1653   0x0675  A fail fast exception occurred. Exception handlers will not be invoked and the process will be terminated immediately.
1654   0x0676  The app that you are trying to run is not supported on this version of Windows.
1655   0x0677  The operation was blocked as the process prohibits dynamic code generation.
1656   0x0678  The objects are not identical.
1657   0x0679  The specified image file was blocked from loading because it does not enable a feature required by the process: Control Flow Guard.
1660   0x067C  The thread context could not be updated because this has been restricted for the process.
1661   0x067D  An invalid cross-partition private file/section access was attempted.
1662   0x067E  A return address hijack is being attempted. This is supported by the operating system when user-mode shadow stacks are enabled.
1700   0x06A4  The string binding is invalid.
1701   0x06A5  The binding handle is not the correct type.
1702   0x06A6  The binding handle is invalid.
1703   0x06A7  The RPC protocol sequence is not supported.
1704   0x06A8  The RPC protocol sequence is invalid.
1705   0x06A9  The string universal unique identifier (UUID) is invalid.
1706   0x06AA  The endpoint format is invalid.
1707   0x06AB  The network address is invalid.
1708   0x06AC  No endpoint was found.
1709   0x06AD  The timeout value is invalid.
1710   0x06AE  The object universal unique identifier (UUID) was not found.
1711   0x06AF  The object universal unique identifier (UUID) has already been registered.
1712   0x06B0  The type universal unique identifier (UUID) has already been registered.
1713   0x06B1  The RPC server is already listening.
1714   0x06B2  No protocol sequences have been registered.
1715   0x06B3  The RPC server is not listening.
1716   0x06B4  The manager type is unknown.
1717   0x06B5  The interface is unknown.
1718   0x06B6  There are no bindings.
1719   0x06B7  There are no protocol sequences.
1720   0x06B8  The endpoint cannot be created.
1721   0x06B9  Not enough resources are available to complete this operation.
1722   0x06BA  The RPC server is unavailable.
1723   0x06BB  The RPC server is too busy to complete this operation.
1724   0x06BC  The network options are invalid.
1725   0x06BD  There are no remote procedure calls active on this thread.
1726   0x06BE  The remote procedure call failed.
1727   0x06BF  The remote procedure call failed and did not execute.
1728   0x06C0  A remote procedure call (RPC) protocol error occurred.
1729   0x06C1  Access to the HTTP proxy is denied.
1730   0x06C2  The transfer syntax is not supported by the RPC server.
1732   0x06C4  The universal unique identifier (UUID) type is not supported.
1733   0x06C5  The tag is invalid.
1734   0x06C6  The array bounds are invalid.
1735   0x06C7  The binding does not contain an entry name.
1736   0x06C8  The name syntax is invalid.
1737   0x06C9  The name syntax is not supported.
1739   0x06CB  No network address is available to use to construct a universal unique identifier (UUID).
1740   0x06CC  The endpoint is a duplicate.
1741   0x06CD  The authentication type is unknown.
1742   0x06CE  The maximum number of calls is too small.
1743   0x06CF  The string is too long.
1744   0x06D0  The RPC protocol sequence was not found.
1745   0x06D1  The procedure number is out of range.
1746   0x06D2  The binding does not contain any authentication information.
1747   0x06D3  The authentication service is unknown.
1748   0x06D4  The authentication level is unknown.
1749   0x06D5  The security context is invalid.
1750   0x06D6  The authorization service is unknown.
1751   0x06D7  The entry is invalid.
1752   0x06D8  The server endpoint cannot perform the operation.
1753   0x06D9  There are no more endpoints available from the endpoint mapper.
1754   0x06DA  No interfaces have been exported.
1755   0x06DB  The entry name is incomplete.
1756   0x06DC  The version option is invalid.
1757   0x06DD  There are no more members.
1758   0x06DE  There is nothing to unexport.
1759   0x06DF  The interface was not found.
1760   0x06E0  The entry already exists.
1761   0x06E1  The entry is not found.
1762   0x06E2  The name service is unavailable.
1763   0x06E3  The network address family is invalid.
1764   0x06E4  The requested operation is not supported.
1765   0x06E5  No security context is available to allow impersonation.
1766   0x06E6  An internal error occurred in a remote procedure call (RPC).
1767   0x06E7  The RPC server attempted an integer division by zero.
1768   0x06E8  An addressing error occurred in the RPC server.
1769   0x06E9  A floating-point operation at the RPC server caused a division by zero.
1770   0x06EA  A floating-point underflow occurred at the RPC server.
1771   0x06EB  A floating-point overflow occurred at the RPC server.
1772   0x06EC  The list of RPC servers available for the binding of auto handles has been exhausted.
1773   0x06ED  Unable to open the character translation table file.
1774   0x06EE  The file containing the character translation table has fewer than 512 bytes.
1775   0x06EF  A null context handle was passed from the client to the host during a remote procedure call.
1777   0x06F1  The context handle changed during a remote procedure call.
